customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,snapshot_date,churn_next_60d,split,pre_snapshot_orders,pre_snapshot_spend,avg_order_value,avg_discount,return_rate,returned_orders,avg_rating,categories_bought,last_order_date,recency_days,ticket_count,negative_ticket_rate,avg_resolution_hours,reopened_rate,snapshot_date_web,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,snapshot_date_campaign,last_campaign_received,last_campaign_cost,manual_priority_bucket,loyalty_status,skin_status,days_since_signup
CUST00001,2024-04-24,Tier 1,18-24,Instagram,Silver,Makeup,Normal,Yes,2025-09-30,1,train,6,2955.57,492.595,0.36333333333333334,0.16666666666666666,1,3.3333333333333335,3,2025-06-15,107,2.0,0.5,4.35,0.0,2025-09-30,1,4,0,0,0,2,0,20,2025-09-30,welcome_offer,25,high,Silver,Normal,524
CUST00002,2025-06-01,Tier 2,25-34,Marketplace,Silver,Hair Care,Combination,Yes,2025-09-30,0,train,1,581.0,581.0,0.23,0.0,0,4.0,1,2025-08-21,40,1.0,0.0,1.0,0.0,2025-09-30,8,31,4,2,3,0,0,0,2025-09-30,free_shipping,12,medium,Silver,Combination,121
CUST00003,2025-03-08,Tier 1,25-34,Influencer,,Skin Care,Oily,Yes,2025-09-30,1,train,1,649.98,649.98,0.47,0.0,0,2.0,1,2025-04-12,171,0.0,0.0,0.0,0.0,2025-09-30,1,3,0,0,0,0,0,26,2025-09-30,none,18,high,Not enrolled,Oily,206
CUST00004,2025-04-15,Tier 3,25-34,Google Search,,Fragrance,Normal,No,2025-09-30,1,train,1,1604.04,1604.04,0.16,0.0,0,2.0,1,2025-05-22,131,0.0,0.0,0.0,0.0,2025-09-30,1,6,0,0,0,0,0,14,2025-09-30,free_shipping,40,high,Not enrolled,Normal,168
CUST00005,2024-08-21,Tier 3,35-44,Organic,Gold,Hair Care,Combination,Yes,2025-09-30,0,train,4,2550.91,637.7275,0.4425,0.0,0,2.0,2,2025-08-23,38,1.0,1.0,37.7,0.0,2025-09-30,18,95,4,1,1,3,1,9,2025-09-30,welcome_offer,18,medium,Gold,Combination,405
CUST00006,2024-09-30,Tier 2,35-44,Instagram,Silver,Baby Care,Dry,Yes,2025-09-30,0,validation,5,3770.16,754.0319999999999,0.358,0.2,1,4.75,3,2025-08-10,51,2.0,1.0,17.6,0.5,2025-09-30,2,8,1,0,1,0,0,1,2025-09-30,none,12,medium,Silver,Dry,365
CUST00007,2025-07-24,Tier 1,18-24,Organic,,Fragrance,Sensitive,Yes,2025-09-30,0,train,1,719.33,719.33,0.18,0.0,0,5.0,1,2025-09-27,3,0.0,0.0,0.0,0.0,2025-09-30,11,61,3,2,2,10,3,12,2025-09-30,free_shipping,0,low,Not enrolled,Sensitive,68
CUST00008,2024-11-18,Tier 2,18-24,Organic,Silver,Skin Care,Dry,Yes,2025-09-30,0,validation,4,2747.33,686.8325,0.2225,0.0,0,2.75,4,2025-08-14,47,1.0,0.0,6.0,0.0,2025-09-30,2,11,1,0,0,0,0,16,2025-09-30,bundle_discount,25,medium,Silver,Dry,316
CUST00009,2025-08-20,Tier 1,25-34,Influencer,,Skin Care,Oily,No,2025-09-30,0,train,1,376.85,376.85,0.49,0.0,0,4.0,1,2025-08-30,31,0.0,0.0,0.0,0.0,2025-09-30,11,57,3,3,2,0,0,6,2025-09-30,none,40,low,Not enrolled,Oily,41
CUST00010,2025-09-02,Tier 1,18-24,Influencer,,Wellness,Oily,Yes,2025-09-30,0,train,1,636.8,636.8,0.45,0.0,0,4.0,1,2025-09-21,9,0.0,0.0,0.0,0.0,2025-09-30,13,71,3,3,2,6,0,5,2025-09-30,none,40,low,Not enrolled,Oily,28
CUST00011,2024-12-14,Tier 2,18-24,Referral,Gold,Fragrance,Sensitive,No,2025-09-30,0,train,2,925.0699999999999,462.53499999999997,0.15500000000000003,0.0,0,4.0,2,2025-09-29,1,0.0,0.0,0.0,0.0,2025-09-30,10,34,2,1,0,0,0,0,2025-09-30,new_launch,18,low,Gold,Sensitive,290
CUST00012,2024-11-01,Tier 2,35-44,Instagram,,Skin Care,Normal,No,2025-09-30,1,train,2,2051.63,1025.815,0.29500000000000004,0.0,0,4.0,1,2025-08-11,50,1.0,1.0,18.7,0.0,2025-09-30,3,16,1,1,0,0,0,5,2025-09-30,none,12,medium,Not enrolled,Normal,333
CUST00013,2025-01-06,Tier 3,35-44,Google Search,,Fragrance,Oily,Yes,2025-09-30,0,train,3,1754.44,584.8133333333334,0.23,0.0,0,5.0,2,2025-07-31,61,1.0,1.0,74.6,0.0,2025-09-30,4,22,1,0,0,2,0,21,2025-09-30,free_shipping,25,medium,Not enrolled,Oily,267
CUST00014,2024-05-08,Tier 2,18-24,Referral,,Fragrance,Combination,No,2025-09-30,0,train,11,8130.16,739.1054545454546,0.2618181818181818,0.0,0,4.0,5,2025-08-10,51,2.0,0.5,8.25,0.0,2025-09-30,11,57,3,2,2,0,0,17,2025-09-30,bundle_discount,12,medium,Not enrolled,Combination,510
